csv_column,csv_unit,imas_unit,csv_dtype,imas_dtype,imas_path,csv_description,imas_standard_name,imas_description,kind,status,notes,transform,transform_args,needs_source,source_fields,source,
TOK,,,,STR_0D,summary/machine,Tokamak which has supplied the data.,,Name of the experimental device to which this data is related (if relevant),constant,mapped,"Device name as string. .strip() whitespace due to data quality issue (dual use of ""CMOD""and "" CMOD""). Transform is identity subject to preprocessing.",formula,TOK.strip(),,,,
SHOT,,,,INT_0D,summary/pulse,Pulse number.,,Pulse number to which this data is related (if relevant),constant,mapped,Pulse/shot number as int. ,identity,,,,,
TIME,s,,,,summary/time(0),Time in the pulse at which the data has been taken in s.,,,,mapped,Reference slice time. Constraint: summary.time is a 0d array.,identity,,,,,
RGEO,m,m,,FLT_1D,summary/boundary/geometric_axis_r,"The plasma geometrical major radius in meters, from an MHD equilibrium fit, defined as the average of the minimum and the maximum radial extent of the plasma.",,R position of the geometric axis (defined as (Rmax+Rmin) / 2 of the boundary),dynamic,mapped,"Geometric radius rmax-rmin/2. Value source pair. One-to-two mapping, manual transform. ",identity,,TRUE,,MHD equilibrium fit,
AMIN,m,m,,FLT_1D,summary/boundary/minor_radius,The horizontal plasma minor radius in meters from an MHD equilibrium fit.,,Minor radius of the plasma boundary (defined as (Rmax-Rmin) / 2 of the boundary),dynamic,mapped,Horizontal plasma minor radius.,identity,,TRUE,,MHD equilibrium fit,
KAPPA,1,1,,FLT_1D,summary/boundary/elongation,The plasma elongation determined from an MHD equilibrium fit.,,Elongation of the plasma boundary,dynamic,mapped,Plasma elongation. ,identity,,TRUE,,MHD equilibrium fit,
SPLASMA,m^2,,dynamic_float1d(:),,equilibrium/time_slice(0)/global_quantities/surface,Separatrix surface area from an MHD equilibrium fit in m2.,area_of_separatrix,,,temporary,"Noteworthy that this is in equilibrium, not summary/global_quantities",identity,,,,,
IGRADB,,,constant_float0d(:),,,Direction of the ion grad-B drift. 1 is towards the X-point.,,,,temporary,"This depends on the sign of the toroidal field (summary/global_quantities/b0), and the divertor configuration. All TC-26 data is lower, single-null. This quantity is derived from a function of sgn(B_t) and summary/boundary/type?",,,,,,
WALMAT,,,,INT_0D,summary/wall/material/index,Material of the plasma facing component in the main chamber.,,Integer identifier (enumeration index within a list). Private identifier values must be indicated by a negative index.,static,mapped,Map to identifier,dictionary,"{""MO"": 11, ""W"":2, ""Be"": 10}",,,,
LIMMAT,,,,INT_0D,summary/limiter/material/index,Material of plasma facing components on the limiters.,,Integer identifier (enumeration index within a list). Private identifier values must be indicated by a negative index.,static,mapped,Map to identifier,dictionary,"{""MO"": 11, ""W"":2, ""Be"": 10}",,,,
