csv_column,csv_unit,imas_unit,csv_dtype,imas_dtype,imas_path,csv_description,imas_description,kind,status,notes,transform,transform_args,needs_source,source_fields,source,
TOK,,,,STR_0D,summary/machine,"This variable designates which tokamak has supplied the data. Possible values are: TOK Address on the WEB TOK_ID ASDEX ASDEX, IPP-Garching Germany1 AUG ASDEX Upgrade, IPP-Garching Germany 2 CMOD Alcator C-mod, MIT USA 3 COMPASSCOMPASS-D, Culham UK 4 D3D DIII-D, GA USA 5 JET JET, EURATOM UK 6 JFT2M JFT-2M, JAERI Japan 7 JT60U JT-60U, JAERI Japan 8 PBXM PBX-M, PPPL USA 9 PDX PDX, PPPL USA 10 TCV TCV, EURATOM Switzerland 11 TEXTOR TEXTOR, EURATOM Germany 12 TFTR TFTR, PPPL USA 13 TDEV TdeV, Montreal, Canada 14 START START, Culham, UK 15 T10 T10, Kurchachov Institute, Russia16 TUMAN3MTUMAN-3M, Ioffe Institute, Russia17 MAST MAST, Culham UK 18 NSTX NSTX, PPPL, USA 19",Name of the experimental device to which this data is related (if relevant),constant,mapped,,identity,109,,,,
TOK_ID,,,,,,This integer variable designates which tokamak has supplied the data. Possible values are listed in table for TOK.,,,discard,Integer tokamak ID. summary/machine (already mapped for TOK) stores the string name. No integer ID field in DD. Suggest temporary.,,,,,,
DIVNAME,,,,,divertors/divertor(0)/name,Describes each device's divertor configuration TOK Possible values ASDEX DV-IPRE DV-IPOST DV-II-O ( no data) DV-II-C 1 <= SHOT <= 13583 13584 <= SHOT <= 20282 20283 <= SHOT <= 25776 25777 <= SHOT AUG DIV-I DIV-II DIV-IIb 4670 <= SHOT <= 8609 9825 <= SHOT <= 13622 15024 <= SHOT CMOD NONAME COMPASS DIV1 D3D OPEN ADP RDP 56348 <= SHOT <= 69648 70678 <= SHOT <= 90768 98889 <= SHOT JET MARK0 MARKI MARKIIA MARKIIAP MARKGB MARKGBSR SHOT < 27968 28792 < SHOT < 35779 35953 < SHOT < 38912 38983 < SHOT < 45081 45202 < SHOT <= 55125 55125 < SHOT JFT2M NONAME JT60U NONAME PBXM NONAME PDX NONAME TCV OPEN TEXTOR NONAME TFTR NONAME TDEV NONAME START OPEN T10 NONAME TUMAN3M NONAME MAST RIB (sketch) PLATES1 NSTX NONAME,,,mapped,,identity,,,,,
LCUPDATE,,,,STR_0D,summary/ids_properties/creation_date,The date of the most recent update for any variable listed in the database. The format is YYYYMMDD (Year-Month-Day).,Date at which this data has been produced,constant,mapped,Database-internal last-update timestamp (YYYYMMDD). No IMAS physics path equivalent. Suggest temporary.,formula,"(lambda s: f'{("""" if len(s)==8 else (""19"" if int(s[:2])>=70 else ""20""))+s[:-4]}-{s[-4:-2]}-{s[-2:]}T00:00:00Z')(str(int(LUPDATE)).zfill(6))",,,,
DATE,,,,STR_0D,summary/pulse_time_begin,The date the shot was taken. The format is YYYYMMDD (Year-Month-Day).,"Date and time (UTC) at which the pulse started on the experiment (if relevant), expressed in a human readable form (ISO 8601) : the format of the string shall be : YYYY-MM-DDTHH:MM:SSZ. Example : 2020-07-24T14:19:00Z",constant,mapped,Processing needed to satisfy format,formula,"(lambda s: f'{("""" if len(s)==8 else (""19"" if int(s[:2])>=70 else ""20""))+s[:-4]}-{s[-4:-2]}-{s[-2:]}T00:00:00Z')(str(int(DATE)).zfill(6))",,,,
SHOT,,,,INT_0D,summary/pulse,The shot from which the data are taken.,Pulse number to which this data is related (if relevant),constant,mapped,,identity,,,,,
TIME,,,,,summary/time(0)&equilibrium/time(0)&divertors/time(0)&core_sources/time(0)&temporary/time(0)&barometry/time(0),Time during the shot at which the data are taken in seconds.,,,mapped,,identity,,,,,
TIME_ID,,,,,,"Integer equivalent of TIME, defined as INT[1000 x ROUND{TIME, 0.001}] where INT is the integer part and ROUND rounds TIME to the 3rd decimal place. Except for TUMAN-3M where INT[100000 x ROUND{TIME, 0.00001}] is used.",,,derived,"Integer encoding of TIME: INT[1000×ROUND(TIME,0.001)]. No IMAS path. Suggest temporary.",,,,,,
T1,,s,,FLT_1D,summary/time_width,Start of main time average window in seconds.,"In case the time-dependent quantities of this IDS are averaged over a time interval, this node is the width of this time interval (empty otherwise). By convention, the time interval starts at time-time_width and ends at time.",dynamic,,Start of main time-averaging window in seconds. No standard IMAS path for time-window boundaries. Suggest temporary.,formula,,,,,
T2,,,,,,End of main time average window in seconds.,,,derived,End of main time-averaging window in seconds. No standard IMAS path. Suggest temporary.,,,,,,
AUXHEAT,,,,,core_sources/source(:)/identifier,Type of auxiliary heating. Possible values are: NONE No Auxiliary heating NB Neutral Beam Injection IC Ion Cyclotron Resonance Heating EC Electron Cyclotron Resonance Heating ECOA Electron Cyclotron Resonance Heating ( Off-axis ) ECIC Combined ECRH + ICRH NBEC Combined NBI + ECRH NBIC Combined NBI + ICRH NBECICCombined NBI + ECRH + ICRH,,,mapped,Not made redundant by corresponding power column,dictionary,"{""EC"":3,""ECH"":3,""IC"":5,""NB"":2,""NBI"":2,""nb"":2,""LH"":4,""ICLH"":[5,4],""NBIC"":[2,5],""NBLH"":[2,4],""NONE"":0,""none"":0}",TRUE,"(""index"",""description"")","NONE = 0, NB = 2, EC = 3, LH = 4, IC = 5",
PHASE,,,constant_string0d(:),,,The phase of the discharge at TIME. Possible values are: OHM Ohmic L L-mode RI Radiative I-mode LHLHL H-mode with frequent LH transitions H ELM-free H-mode HSELM H-mode with small ELMs HSELMH H-mode with high frequency small ELMs HGELM H-mode with large ELMs HGELMH H-mode with high frequency large ELMs H??? ELM-free H-mode to be confirmed HGELM???H-mode with large ELMs to be confirmed,,,discard,,identity,,,,,
HYBRID,,,,,,Hybrid discharge indicator . Possible values are: NO Not a Hybrid discharge YES Hybrid discharge IH Improved H-mode (AUG) HYBRID Hybrid H-mode (DIII-D) UNKNOWNNot checked for HYBRID properties,,,,Hybrid/Improved H-mode discharge indicator string. No dedicated summary flag field in DD. Suggest temporary.,,,,,,
ITB,,,,,,Internal Transport Barrier indicator. Possible values are: NOITB No ITB's - (no data) PREITB Before ITB onset - (no data) ITB ITB present - (no data) UNKNOWNNot checked for ITB,,,,Internal Transport Barrier presence indicator. summary/local/itb* nodes exist for profile quantities but no Boolean ITB-presence flag. Suggest temporary.,,,,,,
ITBTYPE,,,,,,"Type of Internal Transport Barrier. Possible values are: NONE No ITB - (no data) TI Ti ITB - (no data) TE Te ITB - (no data) NE ne ITB - (no data) TITENEITB's in Te, Ti and ne - (no data) NA Not applicable",,,,ITB type string (Ti/Te/ne/combined). No DD field. Suggest temporary.,,,,,,
ELMTYPE,,,,structure,summary/elms/type,Type of ELMs. Possible values are: NONE No ELMs TYPE-I Type I ELMs TYPE-II Type II ELMs ( no data) TYPE-III Type III ELMs TYPE-V Type V ELMs TYPE-1+2 Mixed Type I and Type II ELMs TYPE-1+5 Mixed Type I and Type V ELMs TYPE-RF ICRH ELMs on JET UNKNOWNType has not been determined,"ELMs type (I, II, III, ...)",0,,HIGH CONFIDENCE: summary/elms/type is 'Type of ELMs'; direct semantic match.,,,,,,
ELMFREQ,,Hz,,structure,summary/elms/frequency,The ELM frequency in Hertz. JT60U: Average over 400-500 msec.,ELMs frequency,0,,HIGH CONFIDENCE: summary/elms/frequency is 'Frequency of ELM events'.,,,,,,
ELMMAX,,,,,,The average ELM amplitude of the H-alpha signal (minus base level) in arbitrary units.,,,,Average ELM H-alpha amplitude (arbitrary units). No IMAS path; diagnostic and machine-specific H-alpha signal. Suggest temporary.,,,,,,
ELMDUR,,,,,,The average ELM duration of the H-alpha signal in seconds.,,,,Average ELM duration (H-alpha signal width). No IMAS path. Suggest temporary.,,,,,,
ELMINT,,,,,,The average ELM integral of the H-alpha signal (minus base level) in arbitrary units.,,,,Average ELM H-alpha integral. No IMAS path. Suggest temporary.,,,,,,
OLTIME,,,,,,The time of the Ohmic to L-mode transition (start of auxiliary heating) in seconds.,,,,"Ohmic to L-mode transition time. No standard IMAS path for transition-event timestamps. Candidate: summary IDS could hold tagged events, but no specific field found. Suggest temporary.",,,,,,
